Date,^GSPC,^NDX,^DJI,^KS11,^N225,000001.SS,^HSI,^STOXX50E,^BVSP,^NSEI,GC=F,SI=F,CL=F,BZ=F,NG=F,HG=F,ZC=F,ZW=F,BTC-USD,ETH-USD,DX-Y.NYB,EURUSD=X,USDJPY=X,USDKRW=X,GBPUSD=X,CNY=X
2021-05-14,,,,,,3490.3798828125,28027.5703125,4017.43994140625,121881.0,14677.7998046875,1837.9000244140625,27.35300064086914,65.37000274658203,68.70999908447266,2.9609999656677246,4.664000034332275,685.0,727.25,,,90.31999969482422,,,,,
2021-05-15,,,,,,,,,,,,,,,,,,,46760.1875,3638.1220703125,,,,,,
2021-05-16,,,,,,,,,,,,,,,,,,,46456.05859375,3587.506103515625,,,,,,
2021-05-17,4163.2900390625,13312.91015625,34327.7890625,3134.52001953125,27824.830078125,3517.6201171875,28194.08984375,4006.840087890625,122938.0,14923.150390625,1867.5,28.260000228881836,66.2699966430664,69.45999908447266,3.1089999675750732,4.721499919891357,652.5,699.75,43537.51171875,3282.397705078125,90.22000122070312,1.2150373458862305,109.41200256347656,1125.530029296875,1.4101786613464355,6.436100006103516
2021-05-18,4127.830078125,13217.6796875,34060.66015625,3173.050048828125,28406.83984375,3529.010009765625,28593.810546875,4005.340087890625,122980.0,15108.099609375,1867.800048828125,28.31399917602539,65.48999786376953,68.70999908447266,3.01200008392334,4.735499858856201,658.25,698.0,42909.40234375,3380.070068359375,89.75,1.2156872749328613,109.24199676513672,1135.510009765625,1.4148674011230469,6.438199996948242
2021-05-19,4115.68017578125,13237.91015625,33896.0390625,,28044.44921875,3510.9599609375,,3936.739990234375,122636.0,15030.150390625,1881.300048828125,28.007999420166016,63.36000061035156,66.66000366210938,2.9639999866485596,4.5894999504089355,658.25,679.25,37002.44140625,2460.67919921875,90.19000244140625,1.2223997116088867,108.86799621582031,1127.1400146484375,1.41880202293396,6.424200057983398
2021-05-20,4159.1201171875,13494.08984375,34084.1484375,3162.280029296875,28098.25,3506.93994140625,28450.2890625,3999.909912109375,122701.0,14906.0498046875,1881.800048828125,28.052000045776367,62.04999923706055,65.11000061035156,2.924999952316284,4.581999778747559,664.5,675.25,40782.73828125,2784.294189453125,89.80999755859375,1.217285394668579,109.27300262451172,1130.3699951171875,1.4106162786483765,6.434000015258789
2021-05-21,4155.85986328125,13411.740234375,34207.83984375,3156.419921875,28317.830078125,3486.56005859375,28458.439453125,4025.780029296875,122592.0,15175.2998046875,1876.699951171875,27.472999572753906,63.58000183105469,66.44000244140625,2.9059998989105225,4.495999813079834,659.5,674.25,37304.69140625,2430.621337890625,90.0199966430664,1.222538709640503,108.86000061035156,1127.050048828125,1.4185603857040405,6.433899879455566
2021-05-22,,,,,,,,,,,,,,,,,,,37536.6328125,2295.70556640625,,,,,,
2021-05-23,,,,,,,,,,,,,,,,,,,34770.58203125,2109.579833984375,,,,,,
